102,27,32.5,39,41.5,51.5,53.5,76,78.5,82,88.5,90,95,95.5,107,112,114,117,123,32.5,33.5,41.5,44,66.5,73.5,88.5,90,107,112,114,117,123,124.5,198,201.5,36.5,39,44,52,165,170,178,180.5,185.5,187,194,198,224.5,227,124.5,132.5
103,58.5,63,64.5,66.5,84,85.5,182,188,66.5,69,74,84,85.5,114.5,191,194,194,206.5,188,191,69,74,129.5,160.5,172.5,179.5,,,,,,,,,,,,,,,,,,,,,,,,
109,51.5,56,61,71.5,76.5,79,100.5,116.5,172,178,149.5,160,178,187,77.5,76.5,93.5,96.5,187,189,79,82,116.5,149.5,160,168.5,,,,,,,,,,,,,,,,,,,,,,,,
142,107,113,134.5,143.5,177.5,180.5,45.5,50,53,61.5,91.5,107.5,113,134.5,143.5,149.5,61.5,73,82,88,159.5,166.5,169.5,174.5,180.5,183.5,166.5,169.5,174.5,177.5,183.5,187,149.5,156.5,,,,,,,,,,,,,,,,
144,16,23,49.5,62,95,104,109,113,23,25,27,39,67.5,95,104,109,113,116,126.5,131.5,137.5,142,144.5,150,39,49.5,131.5,137.5,142,144.5,150,155,116,124,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
